,순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
0,1,오지환,LG,유격수,132,127,1141.0,25,0,227,425,87,0.963,0,0,0,-
1,2,황재균,롯데,3루수,131,128,1095.6666666666667,15,0,82,237,25,0.955,0,0,0,-
2,2,안치홍,KIA,2루수,131,131,1124.0,11,0,275,389,82,0.984,0,0,0,-
3,4,김상수,삼성,유격수,129,127,1101.6666666666667,14,0,177,362,67,0.975,0,0,0,-
4,5,최정,SK,3루수,126,125,1087.3333333333333,6,0,105,248,38,0.983,0,0,0,-
5,5,서건창,넥센,2루수,126,119,1042.6666666666667,7,0,266,341,77,0.989,0,0,0,-
6,7,정근우,SK,2루수,123,119,1035.6666666666667,9,0,285,336,87,0.986,0,0,0,-
7,7,김선빈,KIA,유격수,123,123,1029.3333333333333,13,0,178,348,76,0.976,0,0,0,-
8,9,박석민,삼성,3루수,119,119,990.0,10,0,68,220,20,0.966,0,0,0,-
9,9,박병호,넥센,1루수,119,118,1014.6666666666666,7,0,1027,82,109,0.994,0,0,0,-
10,11,박종윤,롯데,1루수,118,110,965.6666666666666,7,0,988,67,85,0.993,0,0,0,-
11,12,박정권,SK,1루수,117,93,881.0,3,0,885,68,95,0.997,0,0,0,-
12,13,이대수,한화,유격수,115,108,910.3333333333334,13,0,125,322,49,0.972,0,0,0,-
13,13,강정호,넥센,유격수,115,114,991.3333333333334,12,0,180,353,88,0.978,0,0,0,-
14,15,한상훈,한화,2루수,106,79,687.0,2,0,184,208,44,0.995,0,0,0,-
15,16,이원석,두산,3루수,105,94,844.6666666666666,15,0,65,150,14,0.935,0,0,0,-
16,16,오선진,한화,3루수,105,101,887.6666666666666,6,0,70,208,20,0.979,0,0,0,-
17,18,문규현,롯데,유격수,104,86,708.6666666666666,13,0,126,233,49,0.965,0,0,0,-
18,19,최윤석,SK,유격수,102,55,557.0,6,0,106,160,39,0.978,0,0,0,-
19,20,서동욱,LG,2루수,96,74,668.0,6,0,185,228,51,0.986,0,0,0,-
20,21,박기남,KIA,3루수,92,68,640.3333333333334,4,0,55,161,19,0.982,0,0,0,-
21,22,조성환,롯데,2루수,89,82,670.3333333333334,2,0,162,222,46,0.995,0,0,0,-
22,22,정성훈,LG,3루수,89,83,734.0,6,0,51,162,10,0.973,0,0,0,-
23,24,손시헌,두산,유격수,85,83,702.0,5,0,119,224,51,0.986,0,0,0,-
24,25,김태균,한화,1루수,84,84,670.0,2,0,654,37,50,0.997,0,0,0,-
25,26,이승엽,삼성,1루수,80,76,647.3333333333334,3,0,642,50,47,0.996,0,0,0,-
26,27,조동찬,삼성,2루수,78,75,564.6666666666666,5,0,137,164,42,0.984,0,0,0,-
27,28,손주인,삼성,2루수,63,29,307.0,1,0,71,93,18,0.994,0,0,0,-
28,29,조영훈,KIA,1루수,60,49,438.6666666666667,10,0,446,32,39,0.98,0,0,0,-
29,30,김민성,넥센,3루수,58,55,439.6666666666667,2,0,42,113,11,0.987,0,0,0,-
30,31,김성현,SK,유격수,57,37,311.6666666666667,4,0,52,107,15,0.975,0,0,0,-
31,31,오재원,두산,1루수,57,32,324.3333333333333,2,0,364,27,32,0.995,0,0,0,-
32,33,최동수,LG,1루수,56,47,381.3333333333333,5,0,399,26,36,0.988,0,0,0,-
33,34,최희섭,KIA,1루수,54,52,424.6666666666667,4,0,446,35,36,0.992,0,0,0,-
34,35,고영민,두산,2루수,51,44,384.6666666666667,5,0,103,130,27,0.979,0,0,0,-
35,35,이병규,LG,1루수,51,43,359.0,3,0,401,31,43,0.993,0,0,0,-
36,35,장성호,한화,1루수,51,36,332.0,3,0,322,30,32,0.992,0,0,0,-
37,38,김재호,두산,유격수,50,38,340.6666666666667,1,0,65,123,24,0.995,0,0,0,-
38,38,김민우,넥센,3루수,50,45,398.3333333333333,7,0,38,98,6,0.951,0,0,0,-
39,40,윤석민,두산,1루수,47,31,290.0,2,0,288,26,29,0.994,0,0,0,-
40,41,신명철,삼성,2루수,44,28,261.0,2,0,55,76,12,0.985,0,0,0,-
41,41,박준서,롯데,2루수,44,28,222.66666666666666,2,0,64,80,15,0.986,0,0,0,-
42,41,최주환,두산,2루수,44,33,285.3333333333333,1,0,63,105,26,0.994,0,0,0,-
43,44,최준석,두산,1루수,43,41,327.0,3,0,307,22,27,0.991,0,0,0,-
44,45,박진만,SK,유격수,42,36,273.6666666666667,0,0,49,93,27,1,0,0,0,-
45,45,허경민,두산,2루수,42,25,247.0,2,0,67,95,17,0.988,0,0,0,-
46,45,김용의,LG,1루수,42,29,285.3333333333333,2,0,267,22,21,0.993,0,0,0,-
47,48,정훈,롯데,2루수,41,9,137.33333333333334,1,0,44,50,14,0.989,0,0,0,-
48,49,오재일,두산,1루수,40,29,263.6666666666667,0,0,253,18,25,1,0,0,0,-
49,50,김주형,KIA,1루수,38,20,222.33333333333334,2,0,223,17,23,0.992,0,0,0,-
50,51,채태인,삼성,1루수,37,32,288.3333333333333,2,0,276,13,21,0.993,0,0,0,-
51,51,하주석,한화,유격수,37,17,164.0,3,0,28,58,9,0.966,0,0,0,-
52,53,신본기,롯데,유격수,36,13,149.66666666666666,1,0,18,49,8,0.985,0,0,0,-
53,53,김태완,LG,2루수,36,23,212.0,1,0,57,82,18,0.993,0,0,0,-
54,55,조동찬,삼성,3루수,34,11,129.66666666666666,1,0,10,34,1,0.978,0,0,0,-
55,55,정훈,롯데,유격수,34,19,170.0,2,0,19,53,11,0.973,0,0,0,-
56,57,이범호,KIA,3루수,32,31,239.33333333333334,3,0,20,58,3,0.963,0,0,0,-
57,58,이여상,한화,3루수,31,27,221.66666666666666,4,0,22,43,1,0.942,0,0,0,-
58,59,김일경,LG,2루수,29,19,169.0,2,0,48,57,14,0.981,0,0,0,-
59,59,이여상,한화,2루수,29,14,122.0,0,0,37,37,11,1,0,0,0,-
60,59,유재신,넥센,3루수,29,17,159.0,3,0,19,38,3,0.95,0,0,0,-
61,62,손주인,삼성,유격수,28,6,83.0,1,0,10,21,4,0.969,0,0,0,-
62,62,지석훈,넥센,3루수,28,13,147.0,0,0,10,43,5,1,0,0,0,-
63,64,허경민,두산,유격수,27,12,144.66666666666666,3,0,25,46,8,0.959,0,0,0,-
64,64,김용의,LG,3루수,27,18,159.0,3,0,9,36,3,0.938,0,0,0,-
65,66,손용석,롯데,2루수,26,10,105.0,0,0,28,33,6,1,0,0,0,-
66,66,최주환,두산,3루수,26,22,175.0,3,0,8,32,2,0.93,0,0,0,-
67,68,홍재호,KIA,3루수,25,18,157.0,2,0,20,30,3,0.962,0,0,0,-
68,68,홍재호,KIA,유격수,25,7,109.66666666666667,0,0,23,38,7,1,0,0,0,-
69,68,김재호,두산,2루수,25,16,155.0,0,0,40,57,15,1,0,0,0,-
70,68,윤석민,두산,3루수,25,15,123.33333333333333,0,0,10,24,2,1,0,0,0,-
71,72,강명구,삼성,2루수,24,0,41.0,2,0,9,13,1,0.917,0,0,0,-
72,72,김성현,SK,2루수,24,10,115.33333333333333,2,0,34,37,13,0.973,0,0,0,-
