순위	선수명	팀명	POS	G	GS	IP	E	PKO	PO	A	DP	FPCT	PB	SB	CS	CS%
1	김하성	넥센	유격수	138	133	1163	18	0	207	422	71	0.972	0	0	0	-
2	김선빈	KIA	유격수	134	122	1056	14	0	169	346	80	0.974	0	0	0	-
3	안치홍	KIA	2루수	131	126	1082 1/3	13	0	291	359	98	0.980	0	0	0	-
4	허경민	두산	3루수	130	104	952 1/3	5	0	100	202	18	0.984	0	0	0	-
5	김성현	SK	2루수	128	106	959 1/3	6	0	229	340	77	0.990	0	0	0	-
6	김민성	넥센	3루수	125	119	1028	6	0	110	242	32	0.983	0	0	0	-
7	손시헌	NC	유격수	123	107	849 2/3	10	0	154	301	62	0.978	0	0	0	-
8	서건창	넥센	2루수	122	120	1008 2/3	12	0	254	329	73	0.980	0	0	0	-
8	박경수	KT	2루수	122	119	950	6	0	243	312	78	0.989	0	0	0	-
10	최정	SK	3루수	117	116	936 2/3	6	0	77	213	20	0.980	0	0	0	-
11	이대호	롯데	1루수	116	114	935 2/3	8	0	898	59	92	0.992	0	0	0	-
12	오재원	두산	2루수	113	82	766 2/3	6	0	204	214	63	0.986	0	0	0	-
13	이범호	KIA	3루수	111	105	867 2/3	13	0	57	179	24	0.948	0	0	0	-
13	이원석	삼성	3루수	111	107	910 1/3	12	0	69	191	23	0.956	0	0	0	-
15	번즈	롯데	2루수	110	103	916 1/3	8	0	225	307	72	0.985	0	0	0	-
16	러프	삼성	1루수	109	109	936	7	0	827	71	96	0.992	0	0	0	-
17	하주석	한화	유격수	108	104	913 1/3	9	0	158	298	61	0.981	0	0	0	-
18	오재일	두산	1루수	107	90	809	5	0	782	43	76	0.994	0	0	0	-
18	송광민	한화	3루수	107	102	834	9	0	68	202	28	0.968	0	0	0	-
20	오지환	LG	유격수	106	95	830 2/3	11	0	132	255	51	0.972	0	0	0	-
21	로사리오	한화	1루수	105	102	883 1/3	10	0	831	53	95	0.989	0	0	0	-
22	박정권	SK	1루수	103	81	692	7	0	667	67	75	0.991	0	0	0	-
22	정근우	한화	2루수	103	98	800	11	0	231	292	78	0.979	0	0	0	-
24	박민우	NC	2루수	102	99	802	7	0	187	252	68	0.984	0	0	0	-
25	스크럭스	NC	1루수	98	98	867 2/3	9	0	791	43	83	0.989	0	0	0	-
26	박기혁	KT	유격수	97	75	628 1/3	9	0	85	213	46	0.971	0	0	0	-
27	신본기	롯데	유격수	92	71	608	6	0	77	199	42	0.979	0	0	0	-
28	김재호	두산	유격수	91	81	688	9	0	112	262	52	0.977	0	0	0	-
29	김주찬	KIA	1루수	88	75	635 2/3	5	0	572	43	71	0.992	0	0	0	-
30	류지혁	두산	유격수	86	60	543	13	0	93	180	29	0.955	0	0	0	-
30	양석환	LG	3루수	86	75	641 1/3	8	0	55	117	15	0.956	0	0	0	-
32	서동욱	KIA	1루수	85	56	512 2/3	0	0	490	29	58	1.000	0	0	0	-
33	박석민	NC	3루수	83	80	644	9	0	41	115	14	0.945	0	0	0	-
33	문규현	롯데	유격수	83	64	576 2/3	4	0	101	214	42	0.987	0	0	0	-
33	강한울	삼성	유격수	83	72	617	12	0	106	204	51	0.963	0	0	0	-
33	오태곤	KT	1루수	83	64	573 1/3	4	0	579	34	53	0.994	0	0	0	-
37	손주인	LG	2루수	80	57	506 2/3	4	0	102	165	41	0.985	0	0	0	-
38	최주환	두산	2루수	78	61	476 2/3	4	0	129	144	37	0.986	0	0	0	-
39	강승호	LG	2루수	76	63	543 2/3	11	0	135	196	45	0.968	0	0	0	-
39	정성훈	LG	1루수	76	56	439 1/3	5	0	397	26	43	0.988	0	0	0	-
39	나주환	SK	유격수	76	64	527	6	0	94	175	42	0.978	0	0	0	-
42	조동찬	삼성	2루수	74	66	510 1/3	6	0	112	170	51	0.979	0	0	0	-
43	김동한	롯데	3루수	73	53	441 2/3	7	0	29	99	13	0.948	0	0	0	-
44	박승욱	SK	유격수	68	46	443	11	0	67	144	22	0.950	0	0	0	-
45	정현	KT	유격수	64	42	387 2/3	7	0	71	135	25	0.967	0	0	0	-
46	지석훈	NC	유격수	63	34	315 1/3	6	0	56	100	21	0.963	0	0	0	-
46	채태인	넥센	1루수	63	59	487 1/3	6	0	472	26	38	0.988	0	0	0	-
48	심우준	KT	3루수	61	52	454 1/3	9	0	35	122	18	0.946	0	0	0	-
49	이상호	NC	2루수	55	31	316 2/3	6	0	67	98	20	0.965	0	0	0	-
49	김재율	LG	1루수	55	30	316 2/3	2	0	278	22	25	0.993	0	0	0	-
49	양석환	LG	1루수	55	39	365 1/3	0	0	370	36	39	1.000	0	0	0	-
49	오태곤	KT	3루수	55	35	306 2/3	6	0	24	69	5	0.939	0	0	0	-
53	신본기	롯데	3루수	53	27	294	4	0	23	56	2	0.952	0	0	0	-
54	히메네스	LG	3루수	51	46	410 2/3	5	0	38	95	13	0.964	0	0	0	-
54	윤석민	KT	1루수	51	42	379 1/3	0	0	355	24	45	1.000	0	0	0	-
56	지석훈	NC	3루수	49	23	229 2/3	4	0	15	51	11	0.943	0	0	0	-
56	로맥	SK	1루수	49	32	306 1/3	1	0	323	16	29	0.997	0	0	0	-
56	강한울	삼성	2루수	49	38	356 2/3	4	0	81	130	35	0.981	0	0	0	-
59	에반스	두산	1루수	46	46	373 2/3	0	0	371	26	40	1.000	0	0	0	-
59	정현	KT	2루수	46	23	223	0	0	72	76	20	1.000	0	0	0	-
61	모창민	NC	1루수	44	34	283	1	0	272	16	24	0.997	0	0	0	-
61	이대수	SK	유격수	44	31	278 1/3	5	0	52	100	30	0.968	0	0	0	-
61	윤석민	KT	3루수	44	39	323 2/3	3	0	24	55	3	0.963	0	0	0	-
64	최재원	LG	2루수	42	24	215	2	0	57	54	12	0.982	0	0	0	-
65	김상호	롯데	1루수	40	7	132	0	0	129	9	11	1.000	0	0	0	-
65	김상수	삼성	유격수	40	38	306 2/3	7	0	56	83	21	0.952	0	0	0	-
67	장영석	넥센	1루수	39	33	275 2/3	4	0	258	10	25	0.985	0	0	0	-
67	김동욱	KT	1루수	39	28	238 1/3	4	0	212	16	20	0.983	0	0	0	-
67	심우준	KT	유격수	39	26	225	10	0	39	80	13	0.922	0	0	0	-
70	김주형	KIA	3루수	38	18	192 2/3	3	0	16	48	6	0.955	0	0	0	-
71	김지수	넥센	2루수	36	3	83	0	0	18	24	6	1.000	0	0	0	-
71	손주인	LG	유격수	36	29	241 2/3	3	0	36	83	9	0.975	0	0	0	-
73	최주환	두산	3루수	35	28	187 2/3	3	0	15	50	2	0.956	0	0	0	-
73	정경운	한화	유격수	35	24	238 2/3	5	0	38	74	18	0.957	0	0	0	-
73	황진수	롯데	3루수	35	28	213 2/3	2	0	17	38	4	0.965	0	0	0	-
76	정현	KT	3루수	34	25	200	3	0	18	36	2	0.947	0	0	0	-
77	모창민	NC	3루수	33	21	193	5	0	13	34	5	0.904	0	0	0	-
77	오선진	한화	2루수	33	26	236	4	0	49	72	16	0.968	0	0	0	-
79	나주환	SK	2루수	32	27	200	0	0	48	68	17	1.000	0	0	0	-
80	나주환	SK	3루수	31	7	114	1	0	9	16	2	0.962	0	0	0	-
81	고장혁	KIA	3루수	30	3	66 2/3	0	0	11	9	2	1.000	0	0	0	-
81	오선진	한화	3루수	30	13	145	0	0	11	23	4	1.000	0	0	0	-
81	김성훈	삼성	2루수	30	19	181	1	0	34	47	13	0.988	0	0	0	-
81	정병곤	삼성	유격수	30	12	146 2/3	1	0	24	59	16	0.988	0	0	0	-
85	지석훈	NC	2루수	29	11	123	1	0	26	41	6	0.985	0	0	0	-
85	정훈	롯데	2루수	29	20	152 1/3	2	0	32	43	5	0.974	0	0	0	-
87	류지혁	두산	3루수	28	9	104	1	0	8	20	2	0.966	0	0	0	-
88	김회성	한화	1루수	25	15	135	1	0	129	8	11	0.993	0	0	0	-
88	모넬	KT	1루수	25	23	195 2/3	4	0	200	12	29	0.981	0	0	0	-
90	김지성	KIA	유격수	24	9	83	3	0	15	33	8	0.941	0	0	0	-
90	서동욱	KIA	2루수	24	17	130 1/3	0	0	39	37	12	1.000	0	0	0	-
90	강경학	한화	2루수	24	9	115	2	0	26	39	10	0.970	0	0	0	-
90	김성훈	삼성	유격수	24	15	148 1/3	1	0	26	51	10	0.987	0	0	0	-
94	백상원	삼성	2루수	23	12	104 2/3	2	0	29	37	11	0.971	0	0	0	-
95	장영석	넥센	3루수	22	14	124	5	0	10	28	0	0.884	0	0	0	-
96	문규현	롯데	3루수	21	12	125	3	0	9	30	4	0.929	0	0	0	-
96	정병곤	삼성	2루수	21	2	52	1	0	10	20	4	0.968	0	0	0	-
98	최재원	LG	3루수	20	12	107	0	0	3	16	2	1.000	0	0	0	-
98	최준석	롯데	1루수	20	18	143	1	0	134	9	11	0.993	0	0	0	-
98	이승엽	삼성	1루수	20	15	141	2	0	150	10	16	0.988	0	0	0	-
98	정병곤	삼성	3루수	20	1	46 2/3	0	0	4	10	1	1.000	0	0	0	-
98	조동찬	삼성	3루수	20	16	121	2	0	16	28	7	0.957	0	0	0	-
103	도태훈	NC	3루수	19	5	64 2/3	2	0	10	19	1	0.935	0	0	0	-
103	황목치승	LG	유격수	19	5	71 1/3	3	0	10	23	7	0.917	0	0	0	-
103	고장혁	KIA	유격수	19	3	50 1/3	1	0	6	16	4	0.957	0	0	0	-
103	최원준	KIA	3루수	19	10	89 1/3	3	0	8	26	2	0.919	0	0	0	-
103	김대륙	롯데	유격수	19	7	78 2/3	1	0	20	26	7	0.979	0	0	0	-
103	조동찬	삼성	1루수	19	7	79	0	0	73	3	8	1.000	0	0	0	-
109	김재율	LG	3루수	18	10	84 2/3	0	0	7	22	2	1.000	0	0	0	-
109	최항	SK	3루수	18	15	125	2	0	11	32	5	0.956	0	0	0	-
111	송성문	넥센	2루수	17	11	101	1	0	26	40	9	0.985	0	0	0	-
111	로니	LG	1루수	17	17	140	1	0	130	9	9	0.993	0	0	0	-
111	최원준	KIA	1루수	17	5	59	1	0	52	3	1	0.982	0	0	0	-
111	나주환	SK	1루수	17	9	75	0	0	66	4	6	1.000	0	0	0	-
111	최승준	SK	1루수	17	12	101	1	0	93	3	15	0.990	0	0	0	-
