순위	선수명	팀명	POS	G	GS	IP	E	PKO	PO	A	DP	FPCT	PB	SB	CS	CS%
1	김상수	삼성	유격수	126	121	1059 1/3	22	0	205	356	74	0.962	0	0	0	-
2	정성훈	LG	3루수	125	123	1015 2/3	12	0	63	216	19	0.959	0	0	0	-
3	강정호	넥센	유격수	123	122	1059 1/3	13	0	186	365	81	0.977	0	0	0	-
4	문규현	롯데	유격수	122	104	892	16	0	184	354	89	0.971	0	0	0	-
5	김민우	넥센	3루수	120	109	963	13	0	77	192	23	0.954	0	0	0	-
6	조성환	롯데	2루수	117	114	967 1/3	9	0	244	342	100	0.985	0	0	0	-
6	김민성	넥센	2루수	117	96	835 2/3	8	0	245	295	72	0.985	0	0	0	-
6	이대수	한화	유격수	117	108	909 1/3	10	0	151	295	51	0.978	0	0	0	-
9	안치홍	KIA	2루수	115	106	900	9	0	256	300	81	0.984	0	0	0	-
10	신명철	삼성	2루수	114	99	840	7	0	214	224	57	0.984	0	0	0	-
11	최정	SK	3루수	113	112	996 1/3	5	0	63	213	22	0.982	0	0	0	-
12	이대호	롯데	1루수	111	110	891 2/3	4	0	923	83	104	0.996	0	0	0	-
13	황재균	롯데	3루수	108	104	891 2/3	19	0	77	192	27	0.934	0	0	0	-
13	이여상	한화	3루수	108	90	762	7	0	53	142	12	0.965	0	0	0	-
15	최준석	두산	1루수	105	101	804	1	0	766	58	78	0.999	0	0	0	-
16	이원석	두산	3루수	102	70	686 2/3	4	0	47	158	13	0.981	0	0	0	-
17	박정권	SK	1루수	99	75	715	4	0	680	55	65	0.995	0	0	0	-
18	김선빈	KIA	유격수	98	96	778	9	0	104	260	62	0.976	0	0	0	-
19	박석민	삼성	3루수	97	92	715	9	0	87	130	14	0.960	0	0	0	-
19	한상훈	한화	2루수	97	87	686 2/3	4	0	167	226	44	0.990	0	0	0	-
21	손시헌	두산	유격수	92	89	777 2/3	6	0	173	264	51	0.986	0	0	0	-
22	오재원	두산	2루수	90	83	658 1/3	9	0	188	217	62	0.978	0	0	0	-
23	정근우	SK	2루수	87	83	738 2/3	4	0	196	255	62	0.991	0	0	0	-
24	이범호	KIA	3루수	86	84	681	3	0	68	160	18	0.987	0	0	0	-
25	고영민	두산	2루수	82	47	496	5	0	116	133	26	0.980	0	0	0	-
26	박경수	LG	2루수	77	27	309 1/3	6	0	93	110	29	0.971	0	0	0	-
26	박경수	LG	유격수	77	65	518 1/3	11	0	90	200	43	0.963	0	0	0	-
28	박진만	SK	유격수	76	71	600 2/3	10	0	102	196	39	0.968	0	0	0	-
29	조동찬	삼성	3루수	69	30	339 1/3	7	0	34	60	7	0.931	0	0	0	-
29	이택근	LG	1루수	69	67	577 2/3	4	0	564	41	59	0.993	0	0	0	-
29	장성호	한화	1루수	69	67	549	2	0	511	32	44	0.996	0	0	0	-
32	김태완	LG	2루수	68	64	490 2/3	5	0	136	165	40	0.984	0	0	0	-
33	서동욱	LG	1루수	67	45	423	2	0	415	32	35	0.996	0	0	0	-
34	오재원	두산	1루수	65	18	254	2	0	258	22	19	0.993	0	0	0	-
34	박종윤	롯데	1루수	65	23	285 1/3	4	0	313	21	37	0.988	0	0	0	-
36	최윤석	SK	유격수	63	48	443	5	0	70	136	28	0.976	0	0	0	-
36	최희섭	KIA	1루수	63	63	529 1/3	5	0	506	27	56	0.991	0	0	0	-
36	정원석	한화	1루수	63	59	497	4	0	498	28	43	0.992	0	0	0	-
39	윤진호	LG	유격수	62	21	247 2/3	7	0	33	82	16	0.943	0	0	0	-
40	박병호	넥센	1루수	61	54	466 2/3	4	0	459	41	48	0.992	0	0	0	-
41	조영훈	삼성	1루수	60	48	438	2	0	390	31	38	0.995	0	0	0	-
41	이현곤	KIA	유격수	60	36	351 2/3	3	0	43	113	13	0.981	0	0	0	-
43	오지환	LG	유격수	56	46	422 2/3	10	0	75	131	27	0.954	0	0	0	-
43	이숭용	넥센	1루수	56	37	310	2	0	296	25	33	0.994	0	0	0	-
45	김주형	KIA	1루수	53	47	420 1/3	6	0	427	25	39	0.987	0	0	0	-
46	박기남	KIA	3루수	50	20	242	2	0	16	58	5	0.974	0	0	0	-
47	채태인	삼성	1루수	47	46	393	0	0	371	18	38	1.000	0	0	0	-
48	이호준	SK	1루수	45	42	329	2	0	313	37	24	0.994	0	0	0	-
48	윤석민	두산	3루수	45	30	233 2/3	3	0	17	55	3	0.960	0	0	0	-
50	김재호	두산	유격수	44	27	272 1/3	4	0	57	97	23	0.975	0	0	0	-
51	김연훈	SK	2루수	42	29	267 2/3	3	0	65	88	26	0.981	0	0	0	-
51	서동욱	LG	2루수	42	24	215 2/3	1	0	73	67	22	0.993	0	0	0	-
53	양종민	롯데	유격수	39	13	154	1	0	26	58	6	0.988	0	0	0	-
54	한상훈	한화	유격수	37	22	193	2	0	18	56	15	0.974	0	0	0	-
55	박석민	삼성	1루수	35	21	204 1/3	4	0	208	17	20	0.983	0	0	0	-
56	오선진	한화	2루수	34	13	158 2/3	1	0	35	59	9	0.989	0	0	0	-
57	김연훈	SK	유격수	32	13	132 2/3	2	0	17	41	10	0.967	0	0	0	-
