순위	선수	구단	포지션	총점	평균	1G최고	1G최저	최근경기	홈평균	원정-평균	승리경기-평균	패배경기-평균	최근5G-평균	최근10G-평균	가성비
1	박병호	키움	1B	3257	26.7	325	-36	-11	14.7	39.5	42.1	6.6	-2	13.1	0.8
2	러프	삼성	1B	3108	23.4	165	-36	0	32.4	13.7	41.7	9.4	0.8	21.7	0.8
3	로맥	SK	1B	3024	22.1	145	-41	0	18.6	25.7	31.9	6.6	47.4	35.1	1.2
4	오재일	두산	1B	2819	21.7	190	-31	-10	11.8	31.6	27.7	8.7	27.8	46.2	4
5	김현수	LG	1B	2640	18.9	145	-31	0	18.8	18.9	27.2	9	-15.6	7.6	0.9
6	모창민	NC	1B	1691	16.7	166	-35	20	23.9	10.3	27.2	7.1	17.2	11.5	3.1
7	김태균	한화	DH	1500	11.8	119	-35	0	10	13.4	21.5	6.1	12.2	16.5	1
8	장영석	키움	3B	948	8	135	-36	0	4.6	11.4	14	-1.4	-3	3.3	10.8
9	오태곤	KT	1B	932	7.6	141	-54	0	4	10.8	15.4	-0.3	8.8	12.3	9
10	페게로	LG	1B	919	17.7	139	-34	0	15.2	20	38.6	-6.7	-9.8	16.8	4.6
11	김주찬	KIA	1B	873	8.7	65	-37	0	9.3	8.1	15.4	3.6	-0.4	10.7	1.8
12	이원재	NC	1B	860	9.1	184	-27	0	10	8.3	17.3	0.4	2	2.5	13.8
13	정근우	한화	CF	795	9	104	-31	0	8.9	9.2	19.5	1.8	10.6	26.1	0.9
14	조셉	LG	1B	747	13.6	104	-35	0	11	16.4	17.4	9.8	-1.2	8.9	0.8
15	유민상	KIA	1B	737	12.1	94	-26	0	14.5	8.8	16.2	7.2	9.2	9.2	14.5
16	베탄코트	NC	RF	606	11.4	130	-35	0	11.9	10.8	28.4	-3.8	3	-7.5	1.1
17	최영진	삼성	3B	555	5.8	101	-31	0	9.6	2.3	14.6	0.2	-2.8	-1.7	9.2
18	채태인	롯데	1B	472	8	89	-36	0	9	7	9.7	7	10.6	12	2.2
19	이상호	NC	1B	411	4	68	-25	-4	4.4	3.5	5.3	2.7	2.2	4.4	4.7
20	김용의	LG	1B	390	3.4	74	-30	0	3.8	3	6.6	-2	-2.6	-1.6	4.3
21	김회성	한화	1B	307	5.3	104	-22	0	9	0.4	13.2	-3.8	-2.6	0.7	4.6
22	정훈	롯데	1B	282	3.2	90	-36	-11	4	2.4	8.2	1	-10.8	-8.5	3.4
23	류승현	KIA	1B	243	4.3	85	-26	0	11.9	-2.1	16.6	-1.7	8.4	11.7	6.6
24	박승욱	KT	2B	240	2.4	75	-28	0	2.8	2	4.3	0.1	-7.2	-3.8	3.6
25	오윤석	롯데	1B	173	2.3	76	-35	0	2.9	1.7	9.8	-2.6	-7.8	-5.9	5.7
26	강경학	한화	1B	155	3	46	-25	0	0.2	6.5	6.5	1.3	6.8	6	1.8
