순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	안상현	SK	0.500	1	2	2	1	1	0	0	0	1	0	0	0
1	백상원	삼성	0.500	4	8	6	1	3	0	0	0	3	2	0	0
3	양원혁	LG	0.400	7	6	5	3	2	0	0	0	2	0	0	0
4	전민재	두산	0.375	12	8	8	2	3	1	0	0	4	3	0	0
5	전병우	롯데	0.364	27	77	66	18	24	7	0	3	40	13	0	1
6	김태진	NC	0.355	20	35	31	5	11	0	0	1	14	3	1	0
7	박병호	넥센	0.345	113	488	400	88	138	20	0	43	287	112	0	3
8	안치홍	KIA	0.342	130	549	494	88	169	38	1	23	278	118	0	9
9	서건창	넥센	0.340	37	160	141	28	48	12	0	0	60	15	2	2
10	김주찬	KIA	0.340	121	471	429	71	146	23	0	18	223	93	2	10
11	가르시아	LG	0.339	50	206	183	27	62	9	0	8	95	34	0	6
12	최주환	두산	0.333	138	590	519	87	173	39	6	26	302	108	0	10
12	이대호	롯데	0.333	144	604	543	81	181	30	0	37	322	125	0	4
14	러프	삼성	0.330	137	597	506	97	167	32	4	33	306	125	0	8
15	허경민	두산	0.324	133	577	516	85	167	30	5	10	237	79	5	8
16	박민우	NC	0.324	115	460	411	68	133	22	5	5	180	33	3	4
17	로맥	SK	0.316	141	616	528	102	167	19	0	43	315	107	0	6
18	김태균	한화	0.315	73	271	254	25	80	11	0	10	121	34	0	0
19	오재원	두산	0.313	132	521	473	78	148	24	1	15	219	81	3	2
20	송성문	넥센	0.313	78	238	211	35	66	19	0	7	106	45	2	1
21	김재호	두산	0.311	131	467	402	78	125	20	0	16	193	75	3	6
22	박승욱	SK	0.308	51	79	65	11	20	3	0	0	23	9	2	0
23	류승현	KIA	0.307	35	85	75	9	23	3	1	1	31	13	1	1
24	정훈	롯데	0.305	91	194	174	33	53	10	1	7	86	26	0	3
25	정근우	한화	0.304	102	425	375	63	114	24	1	11	173	57	1	3
26	이원석	삼성	0.301	128	543	479	74	144	30	1	20	236	93	0	5
27	송광민	한화	0.297	113	460	434	63	129	24	0	18	207	79	0	4
28	황재균	KT	0.296	142	588	530	76	157	41	3	25	279	88	2	3
29	정성훈	KIA	0.295	88	205	183	22	54	11	0	4	77	28	0	1
30	김선빈	KIA	0.295	127	492	424	73	125	17	2	4	158	49	6	5
31	신본기	롯데	0.294	139	479	425	55	125	28	1	11	188	71	5	5
32	최영진	삼성	0.294	61	140	126	13	37	7	0	4	56	18	2	2
33	최항	SK	0.293	98	257	222	38	65	12	1	7	100	35	2	0
34	채태인	롯데	0.293	130	420	376	44	110	18	0	15	173	75	1	4
35	서상우	LG	0.290	51	84	69	10	20	0	0	2	26	14	0	2
36	김하성	넥센	0.288	129	576	511	95	147	27	4	20	242	84	1	5
37	양종민	두산	0.286	21	15	14	5	4	0	1	0	6	1	0	0
38	노진혁	NC	0.283	125	458	420	52	119	21	4	11	181	42	1	2
39	김민성	넥센	0.283	128	465	413	46	117	24	0	10	171	45	1	5
40	이범호	KIA	0.280	101	380	332	41	93	7	0	20	160	69	0	2
41	오재일	두산	0.279	123	477	401	69	112	19	2	27	216	80	0	10
42	모창민	NC	0.279	81	314	287	38	80	10	1	17	143	62	0	4
43	오지환	LG	0.278	144	617	533	93	148	26	2	11	211	71	12	6
44	강경학	한화	0.278	77	289	245	42	68	11	1	5	96	27	1	1
45	김성현	SK	0.277	135	462	415	51	115	19	1	4	148	55	6	3
46	윤석민	KT	0.276	132	509	460	58	127	22	0	19	206	60	2	3
47	문규현	롯데	0.275	122	349	316	42	87	19	1	6	126	41	9	6
48	이병휘	두산	0.273	28	24	22	5	6	1	0	0	7	2	0	0
48	최원제	삼성	0.273	8	13	11	1	3	0	0	0	3	0	0	0
50	최원준	KIA	0.272	101	331	302	46	82	14	1	4	110	32	4	1
51	유민상	KIA	0.271	31	58	48	9	13	2	1	3	26	14	0	2
52	김혜성	넥센	0.270	136	473	430	79	116	15	6	5	158	45	3	2
53	번즈	롯데	0.268	133	505	462	80	124	34	5	23	237	64	1	0
54	류지혁	두산	0.268	128	280	228	52	61	7	0	1	71	29	11	2
55	정현	KT	0.265	65	132	117	16	31	7	0	2	44	9	6	0
56	홍재호	KIA	0.263	56	87	76	16	20	6	0	1	29	9	3	0
57	양석환	LG	0.263	140	519	483	53	127	27	0	22	220	82	1	5
58	김상수	삼성	0.263	122	499	453	63	119	13	1	10	164	50	8	3
59	나주환	SK	0.262	119	420	362	54	95	24	0	12	155	56	13	2
60	박경수	KT	0.262	135	528	458	65	120	21	0	25	216	74	0	3
61	강한울	삼성	0.259	83	209	193	20	50	5	2	0	59	8	3	0
62	심우준	KT	0.259	135	403	367	49	95	23	3	4	136	29	11	1
63	김회성	한화	0.259	58	102	85	15	22	5	0	4	39	17	3	0
64	백승민	삼성	0.258	14	32	31	3	8	2	0	0	10	5	0	0
65	스크럭스	NC	0.257	142	571	501	75	129	35	0	26	242	97	0	3
66	강승호	SK	0.255	69	212	184	14	47	10	0	3	66	31	6	1
67	최준석	NC	0.255	93	179	153	7	39	3	0	4	54	24	0	2
68	박석민	NC	0.255	103	375	318	40	81	14	1	16	145	55	0	3
69	오태곤	KT	0.254	128	374	342	55	87	17	2	12	144	39	3	1
70	하주석	한화	0.254	141	517	484	67	123	20	3	9	176	52	1	0
71	최정민	KIA	0.253	57	95	83	17	21	2	0	2	29	6	4	0
72	이상호	NC	0.251	114	204	187	32	47	2	0	0	49	8	7	0
73	강민국	NC	0.250	6	4	4	0	1	0	0	0	1	0	0	0
73	최승준	SK	0.250	27	79	72	5	18	3	0	4	33	11	0	0
73	백승현	LG	0.250	5	8	8	1	2	0	0	0	2	1	0	0
73	안주형	삼성	0.250	15	8	8	2	2	0	0	0	2	1	0	0
77	정은원	한화	0.249	98	227	201	33	50	5	3	4	73	20	2	1
78	최정	SK	0.244	115	489	406	95	99	16	1	35	222	74	0	2
79	김성훈	삼성	0.243	110	212	185	24	45	9	3	0	60	24	3	2
80	손주인	삼성	0.238	98	297	265	26	63	10	0	4	85	28	10	4
81	강진성	NC	0.235	45	75	68	5	16	3	0	0	19	1	2	1
82	김찬형	NC	0.232	63	160	142	24	33	5	0	1	41	9	1	1
83	한동희	롯데	0.232	87	226	211	24	49	13	1	4	76	25	0	1
84	황경태	두산	0.231	27	13	13	9	3	2	0	0	5	0	0	0
85	도태훈	NC	0.229	26	42	35	5	8	0	0	1	11	5	0	0
86	김민혁	두산	0.226	22	58	53	7	12	2	0	2	20	10	0	0
87	오선진	한화	0.226	56	148	133	14	30	4	0	1	37	9	3	0
88	장영석	넥센	0.224	93	221	196	24	44	15	0	7	80	25	0	0
89	김재율	LG	0.222	25	41	36	5	8	3	0	0	11	3	0	0
89	조동찬	삼성	0.222	28	59	54	5	12	1	0	1	16	2	1	0
91	윤대영	LG	0.217	11	23	23	0	5	1	0	0	6	3	0	0
92	박기혁	KT	0.214	98	196	173	17	37	6	0	1	46	15	5	3
93	윤진호	LG	0.208	102	61	53	13	11	3	0	0	14	4	4	0
94	서동욱	KIA	0.204	32	56	49	3	10	3	0	0	13	2	0	1
95	이대수	SK	0.200	4	6	5	1	1	1	0	0	2	0	1	0
96	김태완	넥센	0.197	29	74	66	5	13	2	0	1	18	5	0	1
97	김동한	롯데	0.193	55	96	83	11	16	1	0	2	23	9	2	2
98	김태연	한화	0.192	24	30	26	7	5	1	0	0	6	2	1	0
99	손시헌	NC	0.188	67	150	128	12	24	4	0	2	34	14	1	1
100	남태혁	KT	0.182	7	11	11	0	2	0	0	0	2	0	0	0
101	지석훈	NC	0.181	67	105	94	9	17	2	0	1	22	8	0	3
102	이창진	KIA	0.172	20	30	29	5	5	1	0	0	6	0	0	0
102	박정권	SK	0.172	14	31	29	4	5	0	0	2	11	6	0	0
104	박지규	LG	0.170	26	53	47	6	8	2	0	1	13	5	2	1
105	신성현	두산	0.167	16	27	24	5	4	0	0	1	7	2	0	1
105	오윤석	롯데	0.167	13	13	12	3	2	0	0	0	2	0	0	0
105	황진수	롯데	0.167	18	26	24	6	4	1	0	1	8	1	0	0
105	김호재	삼성	0.167	10	7	6	1	1	0	0	0	1	0	1	0
109	황윤호	KIA	0.158	82	62	57	11	9	1	0	0	10	4	2	0
110	김지수	넥센	0.147	47	39	34	4	5	0	0	0	5	0	0	0
111	박성한	SK	0.135	42	59	52	3	7	1	0	0	8	2	0	0
112	오영수	NC	0.133	11	16	15	0	2	0	0	0	2	0	0	0
113	김주형	KIA	0.125	6	8	8	0	1	0	0	0	1	0	0	0
114	김동욱	KT	0.091	11	12	11	2	1	0	0	0	1	0	0	0
115	정경운	한화	0.067	22	16	15	1	1	0	0	0	1	2	0	1
115	정병곤	삼성	0.067	6	16	15	1	1	0	0	0	1	2	0	1
117	김석환	KIA	0.000	1	2	2	0	0	0	0	0	0	0	0	0
117	김지성	KIA	-	1	0	0	0	0	0	0	0	0	0	0	0
117	김철호	NC	0.000	1	1	1	0	0	0	0	0	0	0	0	0
